BIGDAM INTERNACIONAL LTDA.;;;;;;;
Manzana 04 Galpón 28 Zofri;;;;;;;
511374 - 511373;;;;;;;
N.I.T. 77.852.370-1;;;;;;;
LISTA EN STOCK DE MERCADERIA;;;;;;;
;;;;;;;
CODIGO LOCAL;N.PIEZA;DESCRIPCION;ORIGEN;MARCA;UNIDAD;CANTIDAD;P.UNIT.
111260;90919-21297;CABLE BUJIA TOY  22R;JAP;SW;SET;37,00;9,50
111259;90919-21045;CABLE BUJIA TOY  2T/3T;JAP;SW;SET;24,00;13,50
111006;90919-21366-SEIWA;CABLE BUJIA TOY 2A/2E/3A/4A;JAP;SW;SET;32,00;7,20
110740;90919-22386;CABLE BUJIA TOY 3S/4S-FE RAV4/CALDINA/IPSUM/;JAP;SW;SET;624,00;21,50
111276;90919-22386-VG;CABLE BUJIA TOY 3S/4S-FE RAV4/CALDINA/IPSUM/CELICA/ 96/00 CNG GAS;JAP;SW;SET;91,00;22,50
111279;90919-21070-VG;CABLE BUJIA TOY 4K/5K 021 CNG GAS;JAP;SW;SET;26,00;7,20
111280;90919-21585-NC-VG;CABLE BUJIA TOY 4SFE CELICA 3SFE CARINA CNG GAS;JAP;SW;SET;6,00;22,90
111249;90919-22389;CABLE BUJIA TOY NOAH 3SFE TOWNACE 96/010 CONF;JAP;SW;SET;172,00;18,60
111275;90919-21045-VG;CABLE BUJIAS TOY  2T/3T CNG GAS;JAP;SW;SET;57,00;13,50
110759;90919-21560;CABLE BUJIAS, 4SFE-SX90, 93-;JAP;SW;SET;518,00;20,30
BOX-600*400*350;CAJA-600*400*350;CAJA PLASTICA PLEGABLE AZUL 600*400*350;CH;S/M;UNI;143,00;18,00
231015;215-2814-L-KO;CANTONERA DEL NISS E24 87/99 KO;KO;S/M;UNI;135,00;2,40
231016;215-2814-R-KO;CANTONERA DEL NISS E24 87/99 KO;KO;S/M;UNI;135,00;2,40
221070;214-2809-2-L;CANTONERA DELANTERO MITSUBISHI PAJERO MONTERO;TW;TYG;UNI;10,00;18,30
221071;214-2809-2-R;CANTONERA DELANTERO MITSUBISHI PAJERO MONTERO;TW;TYG;UNI;10,00;18,30
221082;MB04065PAL;CANTONERA DELANTERO MITSUBISHI PAJERO/MONTERO 97/00 NEGRO P/HALOGENO;TW;TYG;UNI;5,00;87,97
221083;MB04065PAR;CANTONERA DELANTERO MITSUBISHI PAJERO/MONTERO 97/00 NEGRO P/HALOGENO;TW;TYG;UNI;4,00;87,97
221005;212-2818-R;CANTONERA DELANTERO TOY HIACE 9O;TW;DEPO;UNI;3,00;7,90
221087;214-2802-L-2;CANTONERA MITSUBISHI MONTERO/PAJERO 92/00  PARACHOQUE TRAS NEGRO;TW;TYG;UNI;5,00;17,80
221088;214-2802-R-2;CANTONERA MITSUBISHI MONTERO/PAJERO 92/00  PARACHOQUE TRAS NEGRO;TW;TYG;UNI;4,00;17,80
223667;HLL01-4174;CANTONERA PARACHOQUE TOY PROBOX SUCCEED 2005;KO;S/M;UNI;41,00;8,80
231017;215-2815-L-KO;CANTONERA TRAS NISS E24 87/99 KO;KO;S/M;UNI;185,00;2,40
