;CODIGO;D E T A L L E ;Recuento;;;;;;
1120;28-77-L;Espejo HONDA ACCORD 96 ELECTRICO;0;;;;;Espejo MITSUBISHI Montero Negro ELECTRICO ;1
1121;28-77-R;Espejo HONDA ACCORD 96 ELECTRICO;0;;;;;Espejo NISSAN AD 2002-2006 BY11 NEGRO 215-15A3;0
1019;20-207-L;Espejo HONDA ACCORD ELECTRICO;0;;;;;Espejo NISSAN AVENIR;0
1034;12-150-L;Espejo HONDA EG ELECTRICO 3 PINES;0;;;;;Espejo NISSAN B14 ELECTRICO;0
651;043-1262-L;Espejo HONDA EG ELEVTRICO ;0;;;;;Espejo Nissan b14 Largo Eléctrico 3 pines  ;2
652;043-1262-R;Espejo HONDA EG ELEVTRICO 7 PINES;0;;;;;Espejo NISSAN B14 MANUAL;1
790;12-104-L;Espejo HONDA EG MANUAL;0;;;;;Espejo NISSAN B15 PLOMO PATA LARGA;2
1032;12-127-L;Espejo HONDA EG MANUAL;0;;;;;Espejo NISSAN BLUEBIRTH 91-95;0
;5283-L;Espejo HONDA EK 95 /2 PuertaS ELECTRICO 3 PINES;0;;;;;Espejo NISSAN BONGO;0
101;221-1159-L;Espejo Honda Prelude 87-92 ;0;;;;;Espejo NISSAN CHAPULIN;0
102;221-1159-R;Espejo Honda Prelude 87-92 ;0;;;;;Espejo NISSAN CUSTOM ;1
;1602-R;Espejo Honda varios ;0;;;;;Espejo Nissan e25 brazo cromado ;0
;TH1950B-L;Espejo LAND CRUISER FJ75 Mod.85-2000 Negro Manual;0;;;;;Espejo NISSAN LARGO 97 ;0
;TH1950B-R;Espejo LAND CRUISER FJ75 Mod.85-2000 Negro Manual;1;;;;;Espejo NISSAN MARCH 2004;1
969;547483-R;Espejo LEVIN 95 ELECTRICO ;0;;;;;Espejo NISSAN MARCH 2004 ;1
317;5480-L;Espejo LEVIN AE101;0;;;;;Espejo NISSAN MARCH K11 ELECTRICO;0
;5483-2-R;Espejo LEVIN AE101;0;;;;;Espejo NISSAN MARCH K11 MANUAL;0
;3686-N-R;Espejo MISTUBISHI MONTERO NEGRO ;0;;;;;Espejo NISSAN PRESSEA 97;0
216;3719-L;Espejo MISTUBISHI MONTERO NEGRO ;0;;;;;Espejo NISSAN PULSAR 95 /BLUBIRD;0
221;MR155318-L;Espejo MITSIBISHI JUNIOR ;1;;;;;Espejo Nissan Pulsar eléctrico 3 pines ;0
221;MR155318-R;Espejo MITSIBISHI JUNIOR ;1;;;;;Espejo NISSAN SERENA ;0
;212-1142-R;Espejo MITSUBISH GRANDDIS CROMADO ;1;;;;;Espejo NISSAN SKYLINE R33;0
;212-1151-L;Espejo MITSUBISH GRANDDIS CROMADO ;1;;;;;Espejo NISSAN SUNNY B12;1
;4675-2-R;Espejo MITSUBISHI CHALLENGER ;1;;;;;Espejo NISSAN URBAN E23;0
207;K317-R;Espejo MITSUBISHI EVO 9 ;0;;;;;Espejo PROBOX 98 BASE GRANDE;2
655;043-1150-L;Espejo MITSUBISHI IO;0;;;;;Espejo RAV4 96;2
673;043-1550-L;Espejo MITSUBISHI LANCER 92;0;;;;;Espejo REDONDO UNIVERSAL PEQUEÑO;0
674;043-1550-R;Espejo MITSUBISHI LANCER 92;0;;;;;Espejo RESTROVISOR TOYOTA HIACE 2008 BRAZO;0
315;542834-L;Espejo MITSUBISHI LANCER 99;0;;;;;Espejo RETROVISOR HILUX SURF 99;1
213;3686-L;Espejo MITSUBISHI MONTERO CROMADO ELECTRICO YT7230;0;;;;;Espejo RETROVISOR NISSAN AD 90;1
;3686-N-L;Espejo MITSUBISHI MONTERO CROMADO ELECTRICO YT7230;0;;;;;Espejo STARLET;1
214;3686-R;Espejo MITSUBISHI Montero Negro ELECTRICO ;1;;;;;Espejo SUBARU DOMINGO;1
281;3710-L;Espejo MITSUBISHI Montero Negro ELECTRICO ;0;;;;;Espejo Subaru Impreza ;0
501;10-64-R;Espejo NISSAN AD 2002-2006 BY11 NEGRO 215-15A3;0;;;;;Espejo SUBARU IMPREZA 2000;0
382;10-66-L;Espejo NISSAN AD 2002-2006 BY11 NEGRO 215-15A3;0;;;;;Espejo SUBARU IMPREZA 2001;0
