;CODIGO;D E T A L L E ;Recuento;;;;;;
959;100-87262-L;Farol STARLET EP82;0;;;;;Guiñador COROLLA 2;2
41;100-1124-L/R;Farol STARLET EP82 GT 212-1152;1;;;;;Guiñador COROLLA 84 212-1611;0
409;210-87233-L;Farol SUBARU DOMINGO;0;;;;;Guiñador COROLLA SAPITO 212-1592;0
410;210-87233-R;Farol SUBARU DOMINGO;0;;;;;Guiñador CORONA 212-1605;0
;320-1505-CH-R;Farol Subaru FORESTER  Mod. 98~2005   USA;1;;;;;Guiñador CUSTOM BLANCO 215-1575;0
;320-1506-L;Farol Subaru FORESTER  Mod. 98~2005   USA;1;;;;;Guiñador DE CALDINA NARANJA ;1
283;1621-L;Farol SUBARU IMPREZA;1;;;;;Guiñador DE IMPREZA JAPONES;2
;220-1511PCAE-Y-R;Farol SUBARU IMPREZA 4D~5D Mod. 97~99;0;;;;;Guiñador de parachoque CALDINA Mod 92~93~94~94~95;2
;220-1605-L;Farol SUBARU IMPREZA 4D~5D Mod. 97~99;1;;;;;Guiñador de Parachoque CELICA 90/93 TUNNIG;0
865;52-049-R;Farol SUCCED;0;;;;;Guiñador de parachoque COROLLA Mod 86~87 Aut/Vag;2
598;52103-89110;Farol SUCCED ;0;;;;;Guiñador de parachoque COROLLA Mod 89~90~91 Aut/Vag;2
820;1079-R;Farol suelto universal p/foco cambiable H4 (tipo wagner) 2000;2;;;;;Guiñador de parachoque COROLLA Mod 92~93 Aut/Vag;5
338;110-37615-L;Farol suelto universal p/foco cambiable H4 (tipo wagner) 2000;0;;;;;Guiñador DE Parachoque DE HICE 212-1664;2
339;110-37615-R;Farol suelto UNIVERSAL p/foco cambiable REDONDO CRISTAL 2000 ;2;;;;;Guiñador DE Parachoque DOMINGO;0
1132;121222;Farol suzuki gran vitara 2015 ;2;;;;;Guiñador de Parachoque HONDA CIVIC CRX M.90~91 SMOKE TUNNIG Par;0
;218-1403-PXA-L;FAROL SUZUKI SWIFT 2011-2016;0;;;;;Guiñador de Parachoque HONDA CIVIC Mod.88~91;2
;218-1403-PXA-L-CH;FAROL SUZUKI SWIFT 2011-2016;1;;;;;Guiñador DE Parachoque JUNIOR;0
;218-1172-L;Farol Suzuqui APV Mod.2008 ~ CARRY 2008 ~ Cristal;1;;;;;Guiñador de parachoque Mitsubishi ECLIPSE Mod. 2000~2001~2002;1
;218-1172-R;Farol Suzuqui APV Mod.2008 ~ CARRY 2008 ~ Cristal;1;;;;;Guiñador de Parachoque ONDA CIVIC 88/90 3D NARANJA;0
;218-1402-L;Farol Suzuqui GRAND VITARA XL7 Mod.2005~2006~2007~2008;1;;;;;Guiñador de parachoque RAV 4  Mod 95~96~97~98~99        NARANJA;3
;218-1402-R;Farol Suzuqui GRAND VITARA XL7 Mod.2005~2006~2007~2008;0;;;;;Guiñador de parachoque RAV 4  Mod 95~96~97~98~99        TUNNIG;2
;218-1403-PXA-R;Farol Suzuqui NEW VITARA Mod. 2015~2016~2017;1;;;;;Guiñador de parachoque SUBARU  IMPREZA  4D~5D Mod. 97~99 ;2
;218-1407PXA-VC-L;Farol Suzuqui SWIFT Mod.2017~2018~2019~2020 ECE.ELEC;1;;;;;Guiñador de Parachoque SUBARU IMPREZA Mod.99~2000;0
;218-1407PXA-VC-R;Farol Suzuqui SWIFT Mod.2017~2018~2019~2020 ECE.ELEC;1;;;;;Guiñador DE Parachoque TRASERO CHARIOT;1
88;218-1170-R;Farol Suzuqui VITARA;1;;;;;Guiñador DE Parachoque TRASERO CHARIOT RVR;1
;218-1403-PXA-R-CH;Farol Suzuqui VITARA Mod. 2015~2016~2017;0;;;;;Guiñador DE SURF BLANCO ;0
;211-1909-L;FAROL TOYORA. ALDINA ORIGINAL ;0;;;;;Guiñador DOMINGO ;1
;212-11AK-R;Farol Toyota  COROLLA 90 CRISTALIZADO;0;;;;;Guiñador EP 82  212-1586;1
;212-11AM-R;Farol Toyota  COROLLA 90 CRISTALIZADO;0;;;;;Guiñador EP 82  212-15A0;0
350;1550-L;Farol Toyota  Spacio;0;;;;;Guiñador EP 82 212-1582;0
;312-1549-7-L;Farol Toyota 4RUNNER Mod.2005~2006~2007~2008~2009 Limited SR5;1;;;;;Guiñador EP 82 212-1586;0
;312-1549-7-R;Farol Toyota 4RUNNER Mod.2005~2006~2007~2008~2009 Limited SR5;1;;;;;Guiñador EP 82 212-15A0;0
;212-1508-R;FAROL TOYOTA CALDINA 97 ( oreja agachada );1;;;;;Guiñador Ford Explorer 99;2
;212-1509-L-1;FAROL TOYOTA CALDINA 97 ( oreja agachada );0;;;;;Guiñador HILUX 212-1539;0
496;10-67-L;Farol TOYOTA CALDINA GT;1;;;;;Guiñador honda eg negro ;2
498;10-67-R;Farol TOYOTA CALDINA GT;0;;;;;Guiñador JEEP CHEROKEE COMANCHE  84~85~86~87~92~94~95~96;4
757;1231-R;Farol TOYOTA CARIB 96;0;;;;;Guiñador jeep renegade ;0
;1266-L;Farol TOYOTA CARIB 96;1;;;;;Guiñador JEEP RENEGADE Mod. 2015~2016~2017~2018~2019~2020~ F/SML;3
;212-11T2-R;Farol Toyota COROLLA Mod. 92-95 (Auto/vagon) Derecho;1;;;;;Guiñador LAND CRUISSER Mod. 2007~08~09~10~11~12~13~2014~;1
488;20-262-R;Farol TOYOTA CORONA 212-1105;0;;;;;Guiñador LATERAL CALDINA GT;0
398;20-90-R;Farol TOYOTA CORONA 212-1138;0;;;;;Guiñador LATERAL CARRY;2
;13-38-R;Farol TOYOTA CORONA VERIFICAR BLUE BIRD 215-1145;0;;;;;Guiñador lateral de guardafango GRAN VITARA Mod.98;4
513;26-33-L;Farol TOYOTA CUSTOM ;0;;;;;Guiñador lateral de guardafango Nissan DATSUN;2
523;26-37-L;Farol TOYOTA CUSTOM CON Guiñador ;1;;;;;Guiñador lateral de guardafango PATROL Mod. 95~96~97~98;3
524;26-37-R;Farol TOYOTA CUSTOM CON Guiñador ;1;;;;;Guiñador lateral DYNA ~ DUTRO ~ HINO RANGER Mod. 2003 ~ 2013 BLANCO;2
514;26-33-R;Farol TOYOTA CUSTOM CUADRADO;0;;;;;Guiñador LATERAL FORESTER 97-2000;0
;320-1111-R;Farol TOYOTA DESCONOCIDO;0;;;;;Guiñador lateral HINO RANGER  FD,FG MEGA 2003    81520-1970G;1
370;12-428-L;Farol TOYOTA FX ;0;;;;;Guiñador lateral ISUZU TROPER Mod 87~88~89~90~91;1
241;4439-L;FAROL TOYOTA GAIA;0;;;;;Guiñador lateral RAV 4 Mod. 97 ~ 2000 212-1409;0
242;4439-R;FAROL TOYOTA GAIA;0;;;;;Guiñador LATERAL SUBARU IMPREZA;0
538;28-37-R;FAROL TOYOTA GRANVIA ;0;;;;;Guiñador lateral Suzuqui SAMURAI UNIVERSAL   ;2
521;28-74-L;FAROL TOYOTA GRANVIA ;0;;;;;Guiñador lateral Suzuqui SWIFT ~ Universal;0
;212-1520-CY-R;FAROL TOYOTA HILUX REVO ;0;;;;;Guiñador lateral Suzuqui UNIVERSAL   SJ 410 JEEP;2
;212-1524-L;FAROL TOYOTA HILUX REVO ;0;;;;;Guiñador lateral Suzuqui VITARA~ESCUDO ;4
;212-1549-L;FAROL TOYOTA HILUX VIGO 2011;0;;;;;Guiñador LATERLA LANCER 92;0
955;441-1130-L;Farol Toyota ipsum ;0;;;;;Guiñador LEVIN 96;0
;312-1193-L;FAROL TOYOTA RAV 4 99;1;;;;;Guiñador MONTERO;2
;312-1193-R;FAROL TOYOTA RAV 4 99;0;;;;;Guiñador NISSAN ATLAS  215-1571;0
377;26-32-L;Farol TOYOTA REDONDO CON SOPORTE;0;;;;;Guiñador NISSAN CUSTOM 315-1616;2
;212-1514-R;Farol Toyota STARLET Mod 96~98;1;;;;;Guiñador Nissan parachoques mini datsun ;2
;212-1520-C-L;Farol Toyota STARLET Mod 96~98;1;;;;;Guiñador Nissan patrol 87;2
109;312-1521-L;Farol Toyota TACOMA  Mod.2005~2006~07~08~2009~2010 USA    S/Foco;1;;;;;Guiñador NISSAN SUNNY B12 NARANJA;2
110;312-1521-R;Farol Toyota TACOMA  Mod.2005~2006~07~08~2009~2010 USA    S/Foco;1;;;;;Guiñador NISSAN SUNNY B13 215-1542;0
761;12-263-R;Farol Toyota Varios ;0;;;;;Guiñador NISSAN SUNNY B13 215-1562;2
;212-1509-R-1;Farol Toyota. rav 4 97;1;;;;;Guiñador pick up;2
;212-1514-L;Farol Toyota. rav 4 97;1;;;;;Guiñador PRIMERA;0
1123;1540-L;FAROL TOYOTASPACIO ;0;;;;;Guiñador REFLEX EP 91 212-15A1-C;0
434;120-24580-L;Farol TRUENO 97;0;;;;;Guiñador Regla  HIACE Mod.90~ Transforner;1
435;120-24580-R;Farol TRUENO 97;0;;;;;Guiñador SERENA;1
;315-1504-R-Y;Farol VERSA Mod ~2014~2015~2016~ Auto;1;;;;;Guiñador SUBARU DOMINGO ;1
;441-19B5-L;Farol Volkswagen GOLD POINTER VOYAGE SAVEIRO 13~15;1;;;;;Guiñador subaru forester ;2
;441-1177;Farol Volkswagen GOLF IV Mod.1998~1999~2000~2001~2002;0;;;;;Guiñador Subaru FORESTER Mod. 98~2005 USA LED Negro. PAR;2
;441-11AX-1-R;Farol Volkswagen GOLF IV Mod.1998~1999~2000~2001~2002;0;;;;;Guiñador Subaru IMPREZA Mod.97~98~99~2000 PAR;1
;441-11J6-2-L;FAROL VOLKSWAGEN OJO DE ÁNGEL ;0;;;;;Guiñador SUNNY B11 BLANCO ;1
;441-11J6-R;Farol Volkswagen POINTER GOL VOYAGE Mod.2016~2017;1;;;;;Guiñador SURF AMARILLO 212-1573;1
;214-1531-L;Farol XPANDER MPV Mod. 2017~2018~2019~202;1;;;;;Guiñador SURFNARANJA ;0
;F-RELOJ;Fibra portareloj;1;;;;;Guiñador SUZUKI MARUTI 218-1503;0
;F-RELOJ-C;Fibra portareloj CARBON;1;;;;;Guiñador SUZUKI NEW VITARA ALÓGENO  ;2
376;26-13-R;FILTRO;1;;;;;Guiñador TONACE;1
1094;C-3024086;Filtro;1;;;;;GUIÑADOR TOYOTA COROLLA SAPITO NEGRO ;3
167;C-3072014;Filtro de ACEITE  15601-33020 -TH2825 - PH2825;0;;;;;Guiñador TOYOTA CUSTOM LARGO ;0
1107;PH8A;Filtro de ACEITE  3/4 X 16 PH8-TH8A.  C-3024087;0;;;;;Guiñador TOYOTA FX;1
1106;PH966;Filtro de ACEITE  PH-966B 3/4 X16 PH-201A.   C-3024086;0;;;;;Guiñador Toyota ipsum NARANJA;2
1097;C-3024075;Filtro de AIRE 1RZ HIACE LOBO 17801-54140-C (+CHINOS);1;;;;;JALADOR CALDINA GT ORIGINAL ;0
166;C-3072001;Filtro de AIRE 1RZ HIACE LOBO REGIUS COMMUTER KING LONG (+CHINOS);0;;;;;Jalador DE MANO VARIOS;0
1101;C-3024005;Filtro de AIRE 4A 4AG/AE100 5A COROLLA SPACIO LEVIN SPRINTER CARIB;0;;;;;JALADOR DE PUERTA TRASERA TOYOTA CALDINA GT;0
1104;C-3024017;Filtro de AIRE COROLLA Mod. 92 ~ 2002;1;;;;;Jalador SUBARU DE Puerta DELANTERA;0
165;C-3024064;Filtro de aire NISSAN URBAN E24 CARAVAN C/P/aspa;1;;;;;Jeep Cherokee vicel;0
1103;C-3024013;Filtro de AIRE NOAH TOWNACE TACOMA PREVIA PICKUP 4RUNNER LITEACE HILUX;0;;;;;Junta 20*35*23 AE100;0
;400400;Filtro de AIRE SUZUQUI 13780-79210 EMP-265;0;;;;;JUNTA 24X23 TOY PROBOX ;0
1105;C-3024084;Filtro TOYOTA HILUX VIGO 2KDFTV;0;;;;;JUNTA H. TOY. AE100 92/AE92 26X24X56;10
1091;CH-216029;Foco Alogeno H4 de Farol SUPER WHITE AZULADO ;0;;;;;Junta IPSUM COROLLA Mod 87~95 24 X56X 26 C/ABS 133221;30
;CH-216030;Foco CUÑA moderno de 1 contacto 12V 21W Un filamento;0;;;;;Junta PATHFINDER PICK UP 6 Cyl. Mod 89~97 28 X50X 27;0
;CH-216031;Foco CUÑA moderno de 2 contactos 12V 21/5W. #7443 T-20 Dos filamentos;0;;;;;"LANCER 87 GUI;ANDOR";1
;CH-216076;Foco de DOBLE Contacto 12V 21/5W FP5412 Dos filamentos Universal P/Stop;0;;;;;Lente Guiñador de parachoque COROLLA Mod 90~91 Aut/Vag;6
342;FRONT-AD;Frontal NISSAN AD 2004;0;;;;;Lente stop Suzuki SAMURAI;2
356;FRONT-IGNIS;Frontal SUZUKI SWIFT IMCOMPLETO IGNIS;0;;;;;Lente Stop Toyota HIACE Mod. 90~ Minibus;2
367;FRONT-CALDINAGT;Frontal TOYOTA CALDINA GT ;0;;;;;LIP DE PARACHOQUE CALDINA GT ;0
349;FRONT-BOXY;Frontal TOYOTA NOHA BOXY ;0;;;;;LLANTA DE AUXILIO;1
1089;SUPERKOTTE-G;Grasa PEQUEÑA;0;;;;;Llanta SCOOTER  VERDE ;0
;SZ11036A-L;GUARDABARRO SUZUKI VITARA ;0;;;;;Luz DE PLACA VARIOS NEGRO;0
;SZ11036A-R;GUARDABARRO SUZUKI VITARA ;0;;;;;Luz DE RETRO HILUX SURF 92;0
970;GF-E24-L;Guardafango CHANCHO;0;;;;;Maletera CALDINA GT ;0
971;GF-E24-R;Guardafango CHANCHO;0;;;;;Maletera CARIB 98;0
548;GF-VITARA-L;Guardafango DE VITARA CON BUCHERA ;0;;;;;Maletera COMPLETA EVOLUCION 6;0
549;GF-VITARA-R;Guardafango DE VITARA CON BUCHERA ;0;;;;;Maletera Lancer evo 4 BLANCO;1
546;GF-MONTERO90-L;Guardafango MONTERO 90 ;0;;;;;Maletera MITSUBISHI CHARIOT GRANDIS;0
547;GF-MONTERO90-R;Guardafango MONTERO 90 ;0;;;;;Maletera NISSAN CARAVAN CHANCHO;0
;TY10060G-R;GUARDAFANGO TYG ;1;;;;;Maletera SUBARU FORESTER 2000;0
;212-1112-TYC-L;"GUI;ADOR MITSUBISHI CANTER ";1;;;;;Maletera SUBARU WAGON IMPREZA;0
484;12-412-R;Guinador COROLLA 90 212-1524;0;;;;;Maletera Suzuki vitara A MUELLE;0
371;12-428-R;Guinador COROLLA 90 212-1647;0;;;;;Maletera TOYOTA CALDINA A MUELLE;0
;12-84-L;Guinador COROLLA 90 212-1647;0;;;;;Maletera TOYOTA IPSUM 96 ;0
152;20597-Y;Guinador CORON EN PUNTA ;0;;;;;MASACARA TOYOTA RAV 4 TRD;0
1118;2068-L;Guinador CORON EN PUNTA ;0;;;;;Mascara A VENIR AD 96 VERIFICAR;0
;218-1912-R;Guinador de Parachoque Suzuki Samurai;2;;;;;Mascara ATRAIL Blanco ;0
;218-1937-L;Guinador de Parachoque Suzuki Samurai;2;;;;;Mascara CARAVAN K20  CROMADO;0
786;20-179-L;Guinador FX ANTIGUO COROLLA 2;0;;;;;Mascara CARIB ;1
894;28-79-R;Guinador LITEACE CUSTOM 212-1568-Y;1;;;;;Mascara CARINA 85 CROMADO;1
;212-1105-R;Guinador PAJERO MONTERO 214-1531;1;;;;;Mascara CARINA 85 NEGRO;0
;212-1112-L;Guiñador  ECLIPSE;1;;;;;Mascara CARINA 89;0
;333-1110-L;Guiñador AD 215-1561;0;;;;;Mascara CUSTOM CROMADO GUIADOR LARGO;0
497;10-76-L;Guiñador CALDIN GT ;1;;;;;Mascara CUSTOM NISSAN  CROMADO 215-1575;0
499;10-76-R;Guiñador CALDINA GT ;0;;;;;Mascara CUSTUM CROMADO CON NEGRO 215-1575;0
332;21-32-R;Guiñador CARINA AE 91;1;;;;;Mascara DATSUN DOBLE Farol REDONDO;0
146;210-0202-002-L;Guiñador CARINA CRISTALIZADO ;0;;;;;Mascara DS07050GA SUNNY B11;0
147;210-0202-002-R;Guiñador CARINA CRISTALIZADO ;0;;;;;Mascara GRAN VIA 98;0
889;20-93-R;Guiñador CARINA PUNTA REDONDA;1;;;;;Mascara HIACE CUSTOM 89 212-1221 TY07081GA;1
150;20597-C;Guiñador CARINA PUNTA REDONDA;0;;;;;Mascara HIACE Mod LETRAS ORIGIBNAL  89 07081GA TONG YANG;1
769;20-274-R;Guiñador CARINA PUNTA REDONDA 212-1543;0;;;;;MASCARA JIMMY ( USADO );1
467;20-306-L;Guiñador CARINA PUNTA REDONDA 212-1543;1;;;;;Mascara Junior;1
111;312-1634PXA-L;GUIÑADOR CELICA TOYOTA ;1;;;;;Mascara LEVIN AE 86;0
112;312-1634PXA-R;GUIÑADOR CELICA TOYOTA ;1;;;;;Mascara MARINO TOYOTA;0
1065;120-63437-L;Guiñador CERES ;0;;;;;Mascara MITSUBISHI MONTERO NEGRO;0
1066;120-63437-R;Guiñador CERES ;0;;;;;MASCARA NISSAAN CUSTOM CROMADO;0
1049;13-31-R;Guiñador CHALLENGER ;0;;;;;Mascara NISSAN MARCH ;0
;13-38-L;Guiñador CHALLENGER ;0;;;;;Mascara STOUT TY07023;1
272;3352-R;Guiñador Chevro COLORADO PICK UP GMC CANYON 2004~05~09~10~2011;1;;;;;Mascara SUZUKI SAMURAI ;0
;333-1903-L;GUIÑADOR CHEVROLET COLORADO;0;;;;;MASCARA SUZUKI SWIFT IGNIS;0
;333-1903-PXU;GUIÑADOR CHEVROLET COLORADO;0;;;;;Mascara TOYOTA 212-1228 CE-96;0
191;19050-R;Guiñador COROLLA 2;1;;;;;Mascara TOYOTA CARIN A;0
984;192-L;Guiñador COROLLA 2;1;;;;;Mascara TOYOTA ESTARLET ;0
1043;12-342-L;Guiñador COROLLA 84 212-1611;0;;;;;Mascara TOYOTA HIACE  CUSTOM 92;1
1044;12-342-R;Guiñador COROLLA 84 212-1611;0;;;;;Mascara TOYOTA HIACE 212-1196;0
405;120-87194-L;Guiñador COROLLA SAPITO 212-1592;0;;;;;MASCARA TOYOTA RAV 4 FIBRA DE VIDRIO ;1
1022;16-98-L;Guiñador CORONA 212-1605;0;;;;;Mascara URVAN E25 215-11A5;0
;13-1210-R;Guiñador CUSTOM BLANCO 215-1575;0;;;;;Mascara URVAN TYG;0
997;13-19;Guiñador CUSTOM BLANCO 215-1575;0;;;;;Mascara VARIOS;0
1042;2074-R;Guiñador DE CALDINA NARANJA ;1;;;;;Mascara VITARA VRS AMERICANA;0
418;3337-L;Guiñador DE IMPREZA JAPONES;1;;;;;Mascara VITZ;0
419;3337-R;Guiñador DE IMPREZA JAPONES;1;;;;;MASCRA NISSAN URVAN E24 CHINO;0
54;212-1916-R;Guiñador de parachoque CALDINA Mod 92~93~94~94~95;1;;;;;Mataburro Caldina 98;0
;212-1918-L;Guiñador de parachoque CALDINA Mod 92~93~94~94~95;1;;;;;Mataburro MONTERO 90;0
951;312-19C2-L;Guiñador de Parachoque CELICA 90/93 TUNNIG;0;;;;;Mataburro PLASTICO SURF ;0
952;312-19C2-R;Guiñador de Parachoque CELICA 90/93 TUNNIG;0;;;;;Media luz;2
51;212-1904-L;Guiñador de parachoque COROLLA Mod 86~87 Aut/Vag;1;;;;;Media Luz 212-15D5 DE HIACE ;0
52;212-1904-R;Guiñador de parachoque COROLLA Mod 86~87 Aut/Vag;1;;;;;Media luz BONGO NARANJA;2
;212-1914-R-2;Guiñador de parachoque COROLLA Mod 89~90~91 Aut/Vag;1;;;;;Media luz c/Guiñador COROLLA Mod. 84~85~86;2
;212-1915-L;Guiñador de parachoque COROLLA Mod 89~90~91 Aut/Vag;1;;;;;Media luz c/guiñador Nissan SUNNY Mod. 90~91;2
;212-1915-R;Guiñador de parachoque COROLLA Mod 92~93 Aut/Vag;3;;;;;Media luz c/guiñador Nissan URVAN Mod. 90~ Naranjado/Blanco;2
54;212-1916-L;Guiñador de parachoque COROLLA Mod 92~93 Aut/Vag;2;;;;;Media luz c/guiñador Nissan URVAN Mod. 90~Solo Blanco;1
1039;26-55-L;Guiñador DE Parachoque DE HICE 212-1664;1;;;;;Media luz c/guiñador SENTRA Mod. 87 Naranja;2
1040;26-55-R;Guiñador DE Parachoque DE HICE 212-1664;1;;;;;Media luz c/guiñador Subaru FORESTER    Mod. 98~2005   U.S.A.;2
957;3366-R;Guiñador DE Parachoque DOMINGO;0;;;;;Media luz CELICA Mod. 90~95 TUNNIG   BLACK-WHITE;4
983;3367-L;Guiñador DE Parachoque DOMINGO;0;;;;;MEDIA LUZ COROLLA 92 CRISTALIZADO ;1
861;32-128-R;Guiñador de Parachoque HONDA CIVIC CRX M.90~91 SMOKE TUNNIG Par;0;;;;;Media luz COROLLA Mod. 88~89~90~91;4
;318-1906-R;Guiñador de Parachoque HONDA CIVIC Mod.88~91;1;;;;;Media luz COROLLA Mod. 95 ~ 96 AE110. SAPITO;2
860;32-128-L;Guiñador de Parachoque HONDA CIVIC Mod.88~91;1;;;;;Media luz COROLLA Mod.85~86~87 BLANCO;2
;3398-L;Guiñador DE Parachoque JUNIOR;0;;;;;Media luz COROLLA Mod.85~86~87 BY;2
;3398-R;Guiñador DE Parachoque JUNIOR;0;;;;;Media luz COROLLA Mod.92~93~94~95;2
;315-1503-R-Y;Guiñador de parachoque Mitsubishi ECLIPSE Mod. 2000~2001~2002;1;;;;;Media luz COROLLA Mod.92~93~94~95   Auto   Vagoneta    ;3
;218-1151-L;Guiñador de Parachoque ONDA CIVIC 88/90 3D NARANJA;0;;;;;Media luz COROLLA Mod.92~99;0
;212-1930-L;Guiñador de parachoque RAV 4  Mod 95~96~97~98~99        NARANJA;2;;;;;Media luz CORONA CALDINA Mod.92~93~94~95~96~97 ;2
;212-1951-L;Guiñador de parachoque RAV 4  Mod 95~96~97~98~99        NARANJA;1;;;;;Media luz CRESSIDA  Mod. 83 ~ 84  RX62;2
;212-1930-R;Guiñador de parachoque RAV 4  Mod 95~96~97~98~99        TUNNIG;1;;;;;Media luz CRESSIDA  Mod. 85 ~ 86  RX70;4
;212-1945-R;Guiñador de parachoque RAV 4  Mod 95~96~97~98~99        TUNNIG;1;;;;;Media luz DESCONOCIDO;0
741;220-20553-L;Guiñador de parachoque SUBARU  IMPREZA  4D~5D Mod. 97~99 ;1;;;;;Media luz FORD F150 Mod.2001~2002~2003;2
742;220-20553-R;Guiñador de parachoque SUBARU  IMPREZA  4D~5D Mod. 97~99 ;1;;;;;Media luz GALANT Mod.89~90~91~92~93 E33A;3
735;220-20597-L;Guiñador de Parachoque SUBARU IMPREZA Mod.99~2000;0;;;;;Media luz HIACE CUSTOM 96-2000;0
736;220-20597-R;Guiñador de Parachoque SUBARU IMPREZA Mod.99~2000;0;;;;;Media luz HIACE Mod. 90~2000;0
;043-1540-R;Guiñador DE Parachoque TRASERO CHARIOT;1;;;;;Media luz HILUX Mod.92~93~94~95~96~97   CROME;1
;043-1540-L;Guiñador DE Parachoque TRASERO CHARIOT RVR;1;;;;;Media luz HILUX Mod.92~93~94~95~96~97   CROME USA;0
533;3568-Y-L;Guiñador DE SURF BLANCO ;0;;;;;Media luz HILUX Mod.98~2000/Plomo;2
534;3568-Y-R;Guiñador DE SURF BLANCO ;0;;;;;Media luz HILUX RUNNER SURF Mod.92~93~94~95   CROMADO;1
82;217-1608-R;Guiñador DOMINGO ;1;;;;;Media Luz HONDA ACCORD Mod. 94~95~96~97~                           Par ;1
743;1053-L;Guiñador EP 82  212-1586;1;;;;;Media luz HONDA ACCORD Mod.90~91;2
743;1053-R;Guiñador EP 82  212-15A0;0;;;;;Media luz HONDA CIVIC 217-1520;0
;100-1929-C;Guiñador EP 82 212-1582;0;;;;;Media Luz HONDA CIVIC Mod. 88~89~90~91~ ;2
354;100-59079-L;Guiñador EP 82 212-1582;0;;;;;Media luz HONDA CIVIC Mod.90 3D;0
960;100-87262-R;Guiñador EP 82 212-1586;0;;;;;Media luz HONDA PRELUDE Mod. 92 ~ 96;0
582;10300-0310;Guiñador EP 82 212-15A0;0;;;;;Media luz HYUNDAI VAN H100.Minibus 96~97~98~99~2000~2001~2002~2003;2
;331-1903-R;Guiñador Ford Explorer 99;1;;;;;Media luz LANCER Mod. 93~94~95~96 NARANJA Tunnig;2
;331-1951-R;Guiñador Ford Explorer 99;1;;;;;Media luz LANCER Mod. 93~94~95~96 NEGRO;0
535;35-52-L;Guiñador HILUX 212-1539;0;;;;;Media luz LAND CRUISER  Mod.2003~2006 CROMADO;2
251;3530-L;Guiñador HILUX 212-1539;0;;;;;Media luz LAND CRUISER FJ45 Mod.74~75~76~78~79~80;2
;218-1105-L;Guiñador honda eg negro ;1;;;;;Media luz LAND CRUISER FJ75 Mod. 85~2002    Cromado;2
;218-1105-R;Guiñador honda eg negro ;1;;;;;Media luz MAZDA BONGO Mod.2000~2001~2002 VANETTE  E2000 216-1555 PO371;2
;333-1602-R;Guiñador JEEP CHEROKEE COMANCHE  84~85~86~87~92~94~95~96;1;;;;;Media luz MITSIBISHI VERIFICAR;0
;333-1608-L;Guiñador JEEP CHEROKEE COMANCHE  84~85~86~87~92~94~95~96;1;;;;;Media luz MITSUBISHI pajero 96;6
;333-1636-L;Guiñador JEEP CHEROKEE COMANCHE  84~85~86~87~92~94~95~96;2;;;;;Media luz montero 92;0
;333-1903-R;Guiñador jeep renegade ;0;;;;;Media luz Nissan BLUE BIRD Mod. 90-93(Auto);2
;333-1501-R;Guiñador JEEP RENEGADE Mod. 2015~2016~2017~2018~2019~2020~ F/SML;1;;;;;Media luz Nissan PATROL ~ SAFARI  Mod. 95~96~97;2
;333-1602-L;Guiñador JEEP RENEGADE Mod. 2015~2016~2017~2018~2019~2020~ F/SML;2;;;;;Media luz Nissan patrol 95;1
113;314-1126-L;Guiñador LAND CRUISSER Mod. 2007~08~09~10~11~12~13~2014~;1;;;;;MEDIA LUZ NISSAN SUNNY 90 ;3
;211-1956-L;Guiñador LATERAL CALDINA GT;0;;;;;Media luz Nissan SUNNY SENTRA B13 Mod.1990~1991~ TSURU-III USA ;3
;211-1956-R;Guiñador LATERAL CALDINA GT;0;;;;;Media luz PAJERO MONTERO Mod. 92~93~94;2
225;3666-L;Guiñador LATERAL CARRY;1;;;;;Media luz PAJERO MONTERO Mod. 94~95~96~97;2
226;3666-R;Guiñador LATERAL CARRY;1;;;;;Media luz PATHFINDER Mod.96~2000         USA     Cromado;2
;218-1610-R;Guiñador lateral de guardafango GRAN VITARA Mod.98;2;;;;;Media luz PATHFINDER REGULOS;0
92;218-1905-R;Guiñador lateral de guardafango GRAN VITARA Mod.98;2;;;;;Media luz PRESEA VERIFICAR BLUE BIRD;0
;215-1575-R;Guiñador lateral de guardafango Nissan DATSUN;2;;;;;Media luz RUNNER Mod.88~89~90~91~92 Cromado;1
;215-1543-R;Guiñador lateral de guardafango PATROL Mod. 95~96~97~98;3;;;;;Media luz SPRINTER Mod. 87~88~89~90~;1
;220-1403PXAEVS;Guiñador lateral DYNA ~ DUTRO ~ HINO RANGER Mod. 2003 ~ 2013 BLANCO;1;;;;;Media luz STARLET Mod.84~87;2
;220-1511PCAE-Y-L;Guiñador lateral DYNA ~ DUTRO ~ HINO RANGER Mod. 2003 ~ 2013 BLANCO;1;;;;;Media luz SUBARU  IMPREZA  4D~5D Mod. 97~99.     Amarillo      PAR;1
450;2165-R;Guiñador LATERAL FORESTER 97-2000;0;;;;;Media luz Subaru FORESTER  Mod. 98~99~00~01~02~03~2004~2005;2
75;217-1111 PXA-L;Guiñador LATERAL FORESTER 97-2000;0;;;;;Media luz subaru Forester original blanco;2
;6339;Guiñador lateral HINO RANGER  FD,FG MEGA 2003    81520-1970G;1;;;;;Media luz SUBARU IMPREZA 4D~5D Mod. 97~99 Naranja;0
;214-1119PXRD-2-R;Guiñador lateral ISUZU TROPER Mod 87~88~89~90~91;1;;;;;Media luz SUNNY B11;0
;317-1513-L;Guiñador lateral RAV 4 Mod. 97 ~ 2000 212-1409;0;;;;;Media luz SUZUKI SWIF VERIFICAR;0
