CODIGO_ITEM ;NRO_PIEZA ;CODIGO_2 ;CODIGO_SUSTITUTO_1 ;DESCRIPCION ;CATEGORIA ;PRECIO_1_BS ;PESO ;VOL_CM3_UNID ;VOL_CBM_UNID ;UNID_X_CAJA ;NOMBRE_FAMILIA ;NOMBRE_GRUPO ;NOMBRE_SUBGRUPO ;NOMBRE_MARCA ;NOMBRE_UNIDAD ;NOMBRE_ORIGEN ;ALMACEN ;STOCK_MINIMO ;STOCK_MAXIMO ;NOMBRE_PROVEEDOR_1 ;NOMBRE_PROVEEDOR_2 ;NOMBRE_PROVEEDOR_3 ;CANTIDAD ;
CH-216011;;;"H7";FOCO H7 12V*55W, P-HALOGENO FAROL-BLANCO;ACCESORIO;6,3;0,015;0;0;500;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (9), CENTRAL MONTERO: (-320), A: (0), E: (169);;;HANGZHOU-AM;FERIA BL;;-142;
CH-216015;;;"H8";FOCO H8 12V*100W, 1 FIL-BLANCO;ACCESORIO;9,9;0,0275;0,033;0,0002;200;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (9), CENTRAL MONTERO: (0), PAU: (0), A: (116), E: (559);;;HANGZHOU-AM;FERIA BL;;684;
CH-216014;;;"H8";FOCO H8 12V*35W, 1 FIL-BLANCO;ACCESORIO;9;0,0275;0,033;0,0002;200;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (10), MUESTRAS: (1), CENTRAL MONTERO: (0), A: (256), E: (460);;;HANGZHOU-AM;;;727;
CH-216017;;;"H9";FOCO H9 12V*100W, 1 FIL-BLANCO;ACCESORIO;9;0,0275;0,033;0,0002;200;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (10), MUESTRAS: (1), CENTRAL MONTERO: (0), PAU: (0), A: (115), E: (640);;;HANGZHOU-AM;FERIA BL;;766;
CH-216016;;;"H9";FOCO H9 12V*65W, 1 FIL-BLANCO;ACCESORIO;9;0,0275;0,033;0,0002;200;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (9), CENTRAL MONTERO: (0), A: (139), E: (700);;;HANGZHOU-AM;FERIA BL;;848;
215-2030N-AQ;;;;FOCO HALOGENO NISS, MURANO 08, NOTE 2006-10, PATHFHINDER 2004-05;ACCESORIO;352;0,1;0;0;12;NISSAN;ACCESORIOS;ILUMINACION;DEPO;UNIDAD;TAIWAN;E: (5);;;DEPO;;;5;
215-2022L-U;;;;FOCO HALOGENO ROMPENIEBLA NISSAN 720 -- 2002;ACCESORIO;215,1;0,1;0;0;12;NISSAN;ACCESORIOS;ILUMINACION;DEPO;UNIDAD;TAIWAN;SUCURSAL KM.14: (1), E: (1);;;DEPO;;;2;
215-2022R-U;;;;FOCO HALOGENO ROMPENIEBLA NISSAN 720 -- 2002;ACCESORIO;215,1;0,1;0;0;12;NISSAN;ACCESORIOS;ILUMINACION;DEPO;UNIDAD;TAIWAN;SUCURSAL KM.14: (1), E: (1);;;DEPO;;;2;
212-2089L-AQ;;;;FOCO HALOGENO ROMPENIEBLA TOY LAND CRUISER 012 - FJ200-;ACCESORIO;302,5;0,1;0;0;12;TOYOTA;ACCESORIOS;ILUMINACION;DEPO;UNIDAD;TAIWAN;SUCURSAL KM.14: (1), E: (6);;;DEPO;;;7;
212-2089R-AQ;;;;FOCO HALOGENO ROMPENIEBLA TOY LAND CRUISER 012 - FJ200-;ACCESORIO;302,5;0,1;0;0;12;TOYOTA;ACCESORIOS;ILUMINACION;DEPO;UNIDAD;TAIWAN;SUCURSAL KM.14: (1), E: (7);;;DEPO;;;8;
312-2016N-AS;;;;FOCO HALOGENO TOY TACOMA 05-09-SOLARA;ACCESORIO;477;0,1;0;0;12;TOYOTA;ACCESORIOS;ILUMINACION;DEPO;UNIDAD;TAIWAN;E: (10);;;DEPO;;;10;
CH-216042;;;"T8.5";FOCO T8,5 15V*4W, 1 FIL- BLANCO GUIÑADOR;ACCESORIO;0,9;0,004;0,013;0;1000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL RADIAL 26: (10), SUCURSAL KM.14: (8), MUESTRAS: (10), A: (550), E: (0);;;HANGZHOU-AM;FERIA BL;;578;
CH-216038;;;"SV8.5";FOCO TECHO SV8,5 12V*5W, 1 FIL- BLANCO 10*31;ACCESORIO;1,8;0,0015;0;0;2000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (9), CENTRAL MONTERO: (0), A: (770), E: (1630);;;HANGZHOU-AM;;;2409;
CH-216039;;;"SV8.5";FOCO TECHO SV8,5 12V*5W, 1 FIL- BLANCO 11*36;ACCESORIO;1,8;0,004;0,013;0;1000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL RADIAL 26: (10), SUCURSAL KM.14: (10), A: (500), E: (0);;;HANGZHOU-AM;;;520;
CH-216040;;;"SV8.5";FOCO TECHO V8,5 12V*5W, 1 FIL- BLANCO 11*39;ACCESORIO;1,8;0,004;0,013;0;1000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL RADIAL 26: (10), SUCURSAL KM.14: (9), MUESTRAS: (10), A: (520), E: (0);;;HANGZHOU-AM;;;549;
CH-216041;;;"SV8.5";FOCO TECHO V8,5 12V*5W, 1 FIL- BLANCO 11*41;ACCESORIO;1,8;0,0015;0;0;2000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (10), MUESTRAS: (10), CENTRAL MONTERO: (-10), PAU: (0), A: (880), E: (1840);;;HANGZHOU-AM;FERIA BL;;2730;
CH-216062;;;"D6S";FOCO XENON HID 42V,25W-4300K A-B;ACCESORIO;144,9;0,233;0,6667;0,0009;10;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;MUESTRAS: (1), A: (5), E: (0);;;HANGZHOU-AM;;;6;
CH-216063;;;"D8S";FOCO XENON HID 42V,25W-4300K A-B;ACCESORIO;249,3;0,1;0,4;0,0004;10;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;FALLAS DE FABRICA: (3), A: (8), E: (0);;;HANGZHOU-AM;FERIA BL;;11;
CH-216057;;;"D3S";FOCO XENON HID 42V,35W-6000K BL-A;ACCESORIO;188,1;0,13;0,32;0,0005;10;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL RADIAL 26: (2), SUCURSAL KM.14: (2), PAU-A: (0), A: (81), E: (0);;;HANGZHOU-AM;FERIA BL;;85;
CH-216058;;;"D3R";FOCO XENON HID 42V,35W-6000K BL-A;ACCESORIO;188,1;0,065;0,16;0,0002;10;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL RADIAL 26: (2), FALLAS DE FABRICA: (1), SUCURSAL KM.14: (2), MUESTRAS: (1), A: (86), E: (0);;;HANGZHOU-AM;;;92;
CH-216046;;;"9005";FOCO XENON HID 85V,35W- 5500K BL;ACCESORIO;51,3;0,14;0,31;0,0007;120;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL RADIAL 26: (2), SUCURSAL KM.14: (2), A: (82), E: (0);;;HANGZHOU-AM;;;86;
CH-216044;;;"H3";FOCO XENON HID 85V,35W- 5500K BL;ACCESORIO;51,3;0,12;0,31;0,0007;120;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL RADIAL 26: (2), SUCURSAL KM.14: (2), MUESTRAS: (1), A: (88), E: (0);;;HANGZHOU-AM;;;93;
